,0.357920313,11925.86075,simulated,residuals
0,0.359767756,9783.352941,0.010825873176104719,0.06627881735316271
1,0.361615179,7815.58903,0.014653273894654087,0.04694304968646075
2,0.363462584,6394.235905,0.019945304873322897,0.03044903166951892
3,0.365309971,5202.653716,0.027072921462226587,0.013930301780593474
4,0.36715733799999994,4238.010924,0.036154250672234725,-0.002753582953783376
5,0.36900468700000005,3462.803751,0.04684325329059494,-0.019552158591812627
6,0.37085201700000003,2936.340052,0.05820644162130614,-0.035064519586649266
7,0.372699327,2512.025028,0.06878449124808528,-0.04898668638979335
8,0.374546618,2070.387338,0.0768761253997536,-0.06055896134210215
9,0.37639389100000004,1842.220073,0.08098183845121781,-0.06646290925873276
10,0.37824114299999995,1539.8118630000001,0.08025395996177902,-0.06811837435161966
11,0.38008837700000003,1422.963501,0.07477313158459975,-0.06355845282970723
12,0.38193559,1197.120054,0.06553450510336084,-0.05609974670849349
13,0.383782784,1110.21407,0.054151267363171905,-0.04540143355825567
14,0.38562995899999997,958.2423284,0.042401395657642116,-0.0348492835516084
15,0.387477113,821.217122,0.031793130724839774,-0.02532094348688519
16,0.389324247,839.5720956,0.023288106507753596,-0.01667125980921982
17,0.391171362,674.3632177999999,0.017231520295743784,-0.01191671998889978
18,0.393018456,635.7170159,0.013451584282220597,-0.008441362932672855
19,0.39486553,601.4343703,0.01144655391503989,-0.006706521405192984
20,0.396712584,504.9376148,0.010581762286202357,-0.0066022412814372025
21,0.39855961700000003,453.27748130000003,0.01024929817230619,-0.006676921694600385
22,0.40040663,456.82606860000004,0.009973416254162978,-0.0063730726033179984
23,0.40225362200000003,345.9499033,0.009462008209757698,-0.0067355032585982855
24,0.404100594,356.9125764,0.00861059258802367,-0.005797688472707903
25,0.405947544,334.40292819999996,0.00746831471370114,-0.004832813935344642
26,0.40779447399999996,304.2894762,0.006179819265548192,-0.003781649023177715
27,0.40964138299999997,271.5196167,0.004920820442908811,-0.002780916450429633
28,0.41148827,299.66892110000003,0.003844506914387459,-0.0014827522519523526
29,0.413335137,233.7788545,0.00304934404617642,-0.001206883047660437
30,0.415181982,194.10679119999998,0.0025694217326150313,-0.0010396247238223246
31,0.41702880600000003,189.22806519999997,0.002381232232386704,-0.0008898855034393282
32,0.41887560799999995,249.8428562,0.0024187304956992096,-0.00044966567462773315
33,0.420722389,182.13173469999998,0.0025908930185393943,-0.0011554739833382868
34,0.42256914799999995,200.50561430000002,0.0027995392512075424,-0.0012193117532101193
35,0.424415886,181.3752809,0.002956856359257343,-0.001527399097744707
36,0.426262601,161.5370498,0.0030012172840144687,-0.0017281093516978866
37,0.428109295,123.6106888,0.0029081626316465633,-0.001933960437009253
38,0.429955966,159.6202726,0.0026930846836817615,-0.001435083281172582
39,0.43180261600000003,119.99507109999999,0.002404164102712426,-0.0014584573620888752
40,0.43364924299999996,74.44249623,0.0021074473712144152,-0.0015207501858368212
41,0.43549584799999996,123.07111280000001,0.0018685969899011807,-0.0008986473087679744
42,0.43734243,116.83645940000001,0.0017364263634173259,-0.0008156133150789606
43,0.43918899,122.011168,0.0017319730188614564,-0.0007703769886979098
44,0.44103552799999995,113.572071,0.0018448306625854381,-0.00094974495525861
45,0.44288204200000003,99.84521224,0.0020368437836925783,-0.0012499423770867442
46,0.444728534,85.42455047,0.002252249286970145,-0.001579000190539419
47,0.44657500299999997,82.12900224,0.0024323922372192896,-0.0017851160590642125
48,0.44842144899999997,41.31122274,0.0025319745631659177,-0.0022063920083953085
49,0.450267872,61.06262006,0.0025329011702026625,-0.002051653641770831
50,0.45211427200000004,91.15130904,0.0024520674111066314,-0.0017336845093293566
51,0.45396064799999997,12.70016248,0.0023411623288702387,-0.002241069640443553
52,0.455807001,45.62779396,0.002278893242407499,-0.0019192908694750785
53,0.457653331,80.64842289,0.0023575415986586863,-0.001721934182049291
54,0.459499637,13.81143956,0.0026657083955106613,-0.0025568574954705947
55,0.461345919,-2.783772878,0.003268320610995762,-0.0032902601186018342
56,0.46319217799999995,44.36832845,0.004185260423885391,-0.003835584167179838
57,0.465038412,111.88754820000001,0.005372452955348877,-0.004490643331381893
58,0.46688462299999994,85.99249565,0.006712779764503496,-0.006035054571012225
59,0.46873081,2.008138219,0.008025470195706265,-0.008009643630228177
60,0.47057697299999995,70.27615297,0.009098648290661404,-0.008544786944861337
61,0.472423111,121.684473,0.009740406339978459,-0.008781385062767644
62,0.474269225,128.2878777,0.009833595253645909,-0.008822531136019999
63,0.476115315,92.03777242,0.009374914315661282,-0.008649545006974983
64,0.47796138,76.94206326,0.008483986696955386,-0.007877589890858025
65,0.47980742,104.99711540000001,0.007380954641473055,-0.0065534499875772425
66,0.481653436,151.5676301,0.0063443584081857105,-0.005149821598199129
67,0.48349942700000004,89.31021076,0.005666516395307609,-0.004962643581632998
68,0.485345394,94.35044557,0.005618096676614777,-0.004874500697726403
69,0.487191335,93.97529656,0.006421298040782315,-0.005680658691230822
70,0.489037251,55.20260537,0.008221127052752545,-0.007786063549561781
71,0.49088314200000005,66.99157844,0.011044951097122129,-0.010516976183528204
72,0.49272900799999997,82.45420996,0.01475350925772009,-0.014103670048183078
73,0.49457484799999996,39.73891374,0.01900480069436146,-0.018691609842066727
74,0.496420663,62.15265248,0.023262822099625526,-0.02277298379327555
75,0.498266452,52.65655986,0.02687470889168495,-0.026459711316024946
76,0.500112216,57.17256727,0.02921162032897461,-0.02876103113601573
77,0.501957954,62.24210636,0.02983335067276939,-0.029342807361317825
78,0.503803666,22.50090411,0.028615357580136374,-0.028438023157214803
